Country,Age Range,Study Years,Sample Size,Number of Cases,"ASD Prevalence Estimate per 1,000",Confidence Interval (CI),Male:Female Sex Ratio,Non-Hispanic White:Hispanic Prevalence Ratio,White:Black Prevalence Ratio,Diagnosis Age Range (months),Diagnosis Mean Age (months),Diagnosis Median Age (months),Non-Verbal or Minimally Verbal (%),Percentage of Individual Co-occurring Conditions,CDC Calculated Values
England,8 to 10,1964,78000.0,35.0,0.45,0.32 - 0.62,2.6,,,,,,59.0,,IQ Score <70 (%); CI
USA,2 to 12,1962-1967,899750.0,69.0,0.077,0.06 - 0.10,3.1,,,,,,,,CI
Denmark,2 to 14,1962,46500.0,20.0,0.43,0.28 - 0.66,1.7,,,,,,,,CI
England,5 to 14,1974,25000.0,12.0,4.48,0.27 - 0.84,,,,,,,,,CI
England,0 to 14,1970,35000.0,17.0,0.49,0.30 - 0.78,,,,,,,59.0,0 (Down syndrome),IQ Score <70 (%); CI
Japan,0 to 17,1977-1979,609848.0,320.0,0.525,0.47 - 0.59,9.9,,,,,,,,prevalence estimate; CI
Sweden,0 to 20,1979,69000.0,39.0,0.56,0.41 - 0.77,1.6,,,,,,,,CI
Ireland,8 to 10,1979,65000.0,28.0,0.43,0.30 - 0.62,1.3,,,,,,54.0,,CI
Sweden,4 to 18,1980,128584.0,26.0,0.2,0.16 - 0.32,3.3,,,,,,,19 (epilepsy),CI; IQ Score <70 (%)
Germany,0 to 14,1978-1982,279616.0,52.0,0.19,0.14 - 0.24,2.3,,,,,,,,CI
Sweden,0 to 10,1984,78413.0,35.0,0.66,0.32 - 0.62,2.9,,,,,,,23 (epilepsy); 3 (tuberous sclerosis); 6 (cerebral palsy),IQ Score <70 (%); CI; percent co-occurring conditions
Japan,4 to 12,1983,32834.0,51.0,1.55,1.18 - 2.04,4.7,,,,,,,,CI
USA,2 to 18,1985,180986.0,59.0,0.33,0.25 - 0.42,2.7,,,,,,,,CI
Canada,6 to 14,1985,20800.0,21.0,1.01,0.66 - 1.54,2.5,,19.2,,,,19.0,,CI; IQ Score <70 (%); percent non-verbal; White:Black prevalence ratio
Japan,7,1977-1985,95394.0,132.0,1.38,1.17 - 1.64,4.1,,,,,,,,CI
France,3 to 9,1986,135180.0,61.0,0.45,0.35 - 0.58,2.6,,,,,,,,CI
Japan,1.5 to 5 .5,1979-1984,12263.0,16.0,1.3,0.80 - 2.12,,,,,,,,,CI
USA,8 to 12,1984-1988,184822.0,66.0,0.357,0.28 - 0.45,3.7,,,,,,,1.2 (down syndrome); 0.8 (fragile X); 0.8 (Tourette syndreom); 1.7 (Rett syndrome),IQ Score <70 (%); percent co-occurring conditions; prevalence estimate; CI
Sweden,4 to 13,1988,78106.0,74.0,0.95,0.75 - 1.20,2.8,,,,,,,30 (epilepsy); 6 (CP); 3 (tuberous sclerosis),CI; IQ Score <70 (%); percent co-occuring conditions
Indonesia,4 to 7,1991,5120.0,6.0,1.2,0.54 - 2.55,2.0,,,,,,50.0,,% non-verbal
France,9 to 13,1985,274816.0,154.0,0.49,0.36 - 0.61,2.1,,,,,,,22 (epilepsy); 2.6 (cerebral palsy); 1.3 (down syndrome); 1.3 (tuberous sclerosis); 0.6 (fragile X),IQ Score <70 (%); percent co-occurring conditions (fragile X only)
Japan,5,1994,8537.0,18.0,2.11,1.33 - 3.33,2.6,,,,,,,,IQ Score <70 (%)
France,6 to 16,1992-1993,325347.0,174.0,0.54,0.46 - 0.61,1.8,,,,,,,26.4 (epilepsy); 1.7 (down syndrome); 1.7 (fragile x); 2.9 (cerebral palsy); 1.1 (tuberous sclerosis),IQ Score <70 (%)
Sweden,3 to 6,1994,1941.0,9.0,4.6,2.44 - 8.79,3.5,,,,,,,22.2 (epilepsy); 11.1 (down syndrome),IQ Score <70 (%); percent co-occuring conditions
Wales,3 to 15,1992,73300.0,53.0,0.72,0.54 - 0.95,6.6,,,,,,,,none
Norway,3 to 14,1992,65688.0,34.0,0.52,0.32 - 0.64,2.0,,,,,,,23 (epilepsy); 3 (tuberous sclerosis); 6 (Down syndrome); 0 (fragile X); 3 (Encephalopathy),percent co-occurring conditions
Sweden,6.7 to 7.7,1992,826.0,10.0,12.1,5.8 - 22.5,9.0,,,,,,,10 (down syndrome),IQ Score <70 (%); percent co-occuring conditions
England,0 to 15,1998,492453.0,498.0,1.01,0.93 - 1.10,,,,,,37 (core autism) 42 (atypical autism) 73 (Asperger's syndrome),,,sample size; prevalence estimate; CI
USA,0 to 17,1992-1994,99513.0,46.0,0.38,,,,,,,,,,CI
England,1.5 to 8,1998,16235.0,94.0,5.79,4.73 - 7.08,7.5,,,,,,,,number of cases; prevalence estimate; CI; IQ Score <70 (%)
USA,0 to 15,1995,,,0.14,,3.2,,1.7,,,,,,none
England,1 to 4,1995,29200.0,59.0,2.02,1.53 - 2.60,6.0,,,,,,,,none
Finland,5 to 18,1996-1997,152732.0,187.0,1.39,1.2 - 1.57,,,,,,,,,none
Iceland,5 to 14,1997,43153.0,57.0,1.32,0.98 - 1.66,4.2,,,26-165,,48,39.0,,none
