articleClass,articleLikes,title,shortContent
Gallery,22,Congrats to the winners of #SummerDiary 🔥,"🥳 From Aug 1-31 2024, we invited everyone to share their  #summerdiary   ranging from their daily activities, POVs, shopping finds, and more!  We loved everyone’s posts and hope everyone enjoyed sharing their summer diaries! With that, we’d like to congratulate our winners：  🏆1st Prize (500 SGD Wis"
Gallery,454,my nightmare toxic ex 🤢❌,"LONG STORY AHEAD ‼️‼️‼️    for context: this happened in 2021 (i was 19) & i met my ex on twitter where he dmed me & we started talking from there. i was still a student & he was serving ns prior to this incident, we were alr on off for i think 2 times cus the first time he ghosted &"
Video,129,,Oh no! Who wouldn't be confused after seeing this milky blue bag! Look at this milky blue one! The soft and sticky sheepskin fabric is so healing~ The shoulder strap can be adjusted to be carried cross-body under the armpits. I love it when I go to class and commute in the morning!  #bagsharing
Video,550,🇸🇬Interesting Taobao finds!,#taobao    #taobaofind    #shopping    #homeappliances    #homedecor    #homesweethome    #home    #homedecoration    #homestyle   #homeliving
Gallery,6,Introduction,"Hello everyone!! Finally, I decided to share my baking journey as a pastry chef. A little about myself , always love and dream of opening my very own cafe in the future, hopefully before 30, an omakase dessert bar concept with a bakery at the back.     How did my passion get started?  It's defi"
Gallery,1261,how to see who UNFOLLOWED you on instagram!,"i have a private account on instagram, and something i don’t really like is when people unfollow/break the mutual because i am not your fan 🪭 and i like to keep my followers-following ratio neat :,)    forget all those third party apps trying to steal your data. here’s a way for you to check who un"
Gallery,271,every man needs a tailored suit in his life… 👔,"Ladies, this is your sign to get your man a tailored suit this festive season! I feel like every man should have at least one set of tailored suit in their wardrobe cos it really makes them look so snatched and smart, especially for formal occasions! 😍    Ofc, we all know that making a set of 3-pie"
Gallery,0,Why important to have healthy body ,Being healthy should be part of your overall lifestyle. Living a healthy lifestyle can help prevent chronic diseases and long-term illnesses. Feeling good about yourself and taking care of your health are important for your self-esteem and self-image. Maintain a healthy lifestyle by doing what is r
Video,259,follow me for a day in my general surgery posting🚑,"if u were wondering what med school is like during the clinical years, this was an extra busy day during my previous posting!      #MyLemon8Diary   #studentlife   #student   #medicalschool   #university   #AskLemon8"
Video,4,日焼け止めの人はオンライン✅✅,#MyFreeTime   #outfitinspiration   #outfitideas   #ootd
